date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp
2011-02-03,28,"Partly Cloudy",5.9,2,4
2011-02-04,84,"Moderate rain",20.9,4,8
2011-02-05,42,"Patchy light drizzle",3.3,3,8
2011-02-06,84,"Light rain",3.2,0,6
2011-02-07,96,"Moderate or heavy sleet",35.0,0,4
2011-02-08,53,"Partly Cloudy",0.0,0,5
2011-02-09,71,"Patchy light drizzle",6.8,4,7
2011-02-10,2,Sunny,3.5,1,8
2011-02-11,100,"Light drizzle",2.1,1,5
2011-02-12,68,"Patchy light drizzle",14.6,2,5
2011-02-13,100,"Moderate rain",12.0,2,6
2011-02-14,75,"Patchy light rain",2.2,-1,5
2011-02-15,94,Overcast,1.1,2,5
2011-02-16,100,"Moderate rain",13.5,-1,4
2011-02-17,95,"Light drizzle",2.2,2,5
2011-02-18,69,Cloudy,6.4,1,5
2011-02-19,100,"Light rain",11.6,1,3
2011-02-20,91,Overcast,0.1,-1,5
2011-02-21,100,"Light sleet",1.4,0,4
2011-02-22,86,Cloudy,0.1,5,7
2011-02-23,100,Overcast,4.8,7,10
2011-02-24,43,"Partly Cloudy",0.2,6,10
2011-02-25,2,Sunny,0.2,6,11
2011-02-26,25,Sunny,1.1,1,8
2011-02-27,23,Sunny,0.3,1,8
2011-02-28,0,Sunny,0.0,1,8
2011-03-01,17,Sunny,0.0,1,8
2011-03-02,50,"Partly Cloudy",0.0,0,8
2011-03-03,75,Cloudy,0.1,3,8
2011-03-04,60,"Partly Cloudy",0.2,3,9
2011-03-05,37,"Partly Cloudy",0.2,0,7
2011-03-06,3,Sunny,0.0,-1,6
2011-03-07,79,Cloudy,0.0,1,7
2011-03-08,81,Cloudy,1.3,2,8
2011-03-09,47,"Partly Cloudy",6.5,4,5
2011-03-10,26,"Patchy rain nearby",2.4,0,6
2011-03-11,100,"Light rain shower",4.2,1,6
2011-03-12,100,"Moderate rain",16.3,1,2
2011-03-13,52,"Partly Cloudy",0.9,2,6
2011-03-14,89,"Light drizzle",3.4,1,6
2011-03-15,100,"Moderate rain",7.5,-3,5
2011-03-16,0,Sunny,0.0,0,9
2011-03-17,74,"Patchy light rain",2.1,-1,7
2011-03-18,12,Sunny,0.5,1,7
2011-03-19,14,Sunny,0.0,2,9
2011-03-20,100,Overcast,0.3,6,12
2011-03-21,71,Cloudy,0.1,5,12
2011-03-22,80,Cloudy,0.0,5,13
2011-03-23,63,Cloudy,0.0,5,13
2011-03-24,19,Sunny,0.0,2,13
2011-03-25,34,"Partly Cloudy",0.0,2,11
2011-03-26,67,"Patchy light drizzle",0.6,4,10
2011-03-27,40,"Partly Cloudy",0.2,2,11
2011-03-28,47,"Partly Cloudy",0.0,3,11
2011-03-29,76,Cloudy,7.5,4,12
2011-03-30,100,"Light rain",5.0,5,10
2011-03-31,75,"Patchy light drizzle",4.8,6,11
